row_id,paper_id,page_num,chemical_composition,alloy_composition,density,tensile_strength,elongation,thermal_conductivity,thermal_expansion,manufacturing_process,source_label,source_snippet,extracted_from
80,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,Cu-1Cr-0.1Zr,,,UTS = 564 MPa @ 300K,,,,As-received,Table 6(a),Cu-1Cr-0.1Zr As-received 564 293 125,table
81,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,Cu-1Cr-0.1Zr,,,UTS = 293 MPa @ 773K,,,,As-received,Table 6(a),Cu-1Cr-0.1Zr As-received 564 293 125,table
82,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,Cu-1Cr-0.1Zr,,,UTS = 125 MPa @ 923K,,,,As-received,Table 6(a),Cu-1Cr-0.1Zr As-received 564 293 125,table
83,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,AMZIRC,,UTS = 509 MPa @ 300K,,,,As-received,Table 6(a),AMZIRC As-received 509 264 125,table
84,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,AMZIRC,,UTS = 264 MPa @ 773K,,,,As-received,Table 6(a),AMZIRC As-received 509 264 125,table
85,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,AMZIRC,,UTS = 125 MPa @ 923K,,,,As-received,Table 6(a),AMZIRC As-received 509 264 125,table
86,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,Cu-0.9Cr,,,UTS = 495 MPa @ 300K,,,,As-received,Table 6(a),Cu-0.9Cr As-received 495 206 118,table
87,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,Cu-0.9Cr,,,UTS = 206 MPa @ 773K,,,,As-received,Table 6(a),Cu-0.9Cr As-received 495 206 118,table
88,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,Cu-0.9Cr,,,UTS = 118 MPa @ 923K,,,,As-received,Table 6(a),Cu-0.9Cr As-received 495 206 118,table
89,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,GlidCopAl-15,,UTS = 464 MPa @ 300K,,,,As-received,Table 6(a),GlidCopAl-15 As-received 464 184 104,table
90,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,GlidCopAl-15,,UTS = 184 MPa @ 773K,,,,As-received,Table 6(a),GlidCopAl-15 As-received 464 184 104,table
91,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,GlidCopAl-15,,UTS = 104 MPa @ 923K,,,,As-received,Table 6(a),GlidCopAl-15 As-received 464 184 104,table
92,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,GlidCopAl-15,,UTS = 408 MPa @ 300K,,,,Brazed,Table 6(a),GlidCopAl-15 Brazed 408 174 86,table
93,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,GlidCopAl-15,,UTS = 174 MPa @ 773K,,,,Brazed,Table 6(a),GlidCopAl-15 Brazed 408 174 86,table
94,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,GlidCopAl-15,,UTS = 86 MPa @ 923K,,,,Brazed,Table 6(a),GlidCopAl-15 Brazed 408 174 86,table
95,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,GRCop-84,,UTS = 368 MPa @ 300K,,,,As-received,Table 6(a),GRCop-84 As-received 368 153 82,table
96,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,GRCop-84,,UTS = 153 MPa @ 773K,,,,As-received,Table 6(a),GRCop-84 As-received 368 153 82,table
97,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,GRCop-84,,UTS = 82 MPa @ 923K,,,,As-received,Table 6(a),GRCop-84 As-received 368 153 82,table
98,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,GRCop-84,,UTS = 361 MPa @ 300K,,,,Brazed,Table 6(a),GRCop-84 Brazed 361 148 46,table
99,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,GRCop-84,,UTS = 148 MPa @ 773K,,,,Brazed,Table 6(a),GRCop-84 Brazed 361 148 46,table
100,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,GRCop-84,,UTS = 46 MPa @ 923K,,,,Brazed,Table 6(a),GRCop-84 Brazed 361 148 46,table
101,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,NARloy-Z,,UTS = 315 MPa @ 300K (estimated),,,,STA,Table 6(a),NARloy-Z* STA 315 187 33,table
102,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,NARloy-Z,,UTS = 187 MPa @ 773K (estimated),,,,STA,Table 6(a),NARloy-Z* STA 315 187 33,table
103,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,NARloy-Z,,UTS = 33 MPa @ 923K (estimated),,,,STA,Table 6(a),NARloy-Z* STA 315 187 33,table
104,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,Cu-1Cr-0.1Zr,,,UTS = 266 MPa @ 300K,,,,Brazed,Table 6(a),Cu-1Cr-0.1Zr Brazed 266 89 34,table
105,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,Cu-1Cr-0.1Zr,,,UTS = 89 MPa @ 773K,,,,Brazed,Table 6(a),Cu-1Cr-0.1Zr Brazed 266 89 34,table
106,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,Cu-1Cr-0.1Zr,,,UTS = 34 MPa @ 923K,,,,Brazed,Table 6(a),Cu-1Cr-0.1Zr Brazed 266 89 34,table
107,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,Cu-0.9Cr,,,UTS = 245 MPa @ 300K,,,,Brazed,Table 6(a),Cu-0.9Cr Brazed 245 62 32,table
108,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,Cu-0.9Cr,,,UTS = 62 MPa @ 773K,,,,Brazed,Table 6(a),Cu-0.9Cr Brazed 245 62 32,table
109,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,Cu-0.9Cr,,,UTS = 32 MPa @ 923K,,,,Brazed,Table 6(a),Cu-0.9Cr Brazed 245 62 32,table
110,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,AMZIRC,,UTS = 231 MPa @ 300K,,,,Brazed,Table 6(a),AMZIRC Brazed 231 104,table
111,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,AMZIRC,,UTS = 104 MPa @ 773K,,,,Brazed,Table 6(a),AMZIRC Brazed 231 104,table
112,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,OFHCCu,,UTS = 217 MPa @ 300K (estimated),,,,Unknown,Table 6(a),OFHCCu* Unknown 217 84,table
113,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,OFHCCu,,UTS = 84 MPa @ 773K (estimated),,,,Unknown,Table 6(a),OFHCCu* Unknown 217 84,table
114,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,GlidCopAl-15,,UTS = 125 MPa @ 923K,,,,As-received,Table 6(a),125 As-received GlidCopAl-15,table
115,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,GlidCopAl-15,,UTS = 125 MPa @ 923K,,,,Brazed,Table 6(a),125 Brazed GlidCopAl-15,table
116,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,Cu-1Cr-0.1Zr,,,UTS = 118 MPa @ 923K,,,,As-received,Table 6(a),118 As-received Cu-1Cr-0.1Zr,table
117,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,Cu-0.9Cr,,,UTS = 104 MPa @ 923K,,,,As-received,Table 6(a),104 As-received Cu-0.9Cr,table
118,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,GRCop-84,,UTS = 86 MPa @ 923K,,,,As-received,Table 6(a),86 As-received GRCop-84,table
119,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,GRCop-84,,UTS = 82 MPa @ 923K,,,,Brazed,Table 6(a),82 Brazed GRCop-84,table
120,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,Cu-1Cr-0.1Zr,,,UTS = 46 MPa @ 923K,,,,Brazed,Table 6(a),46 Brazed Cu-1Cr-0.1Zr,table
121,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,Cu-0.9Cr,,,UTS = 34 MPa @ 923K,,,,Brazed,Table 6(a),34 Brazed Cu-0.9Cr,table
122,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,AMZIRC,,UTS = 33 MPa @ 923K,,,,Brazed,Table 6(a),33 Brazed AMZIRC,table
123,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,AMZIRC,,UTS = 32 MPa @ 923K,,,,As-received,Table 6(a),32 As-received AMZIRC,table
124,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,Cu-1Cr-0.1Zr,,,YS = 551 MPa @ 300K,,,,As-received,Table 6(b),Cu-1Cr-0.1Zr As-received 551 284 126,table
125,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,Cu-1Cr-0.1Zr,,,YS = 284 MPa @ 773K,,,,As-received,Table 6(b),Cu-1Cr-0.1Zr As-received 551 284 126,table
126,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,Cu-1Cr-0.1Zr,,,YS = 126 MPa @ 923K,,,,As-received,Table 6(b),Cu-1Cr-0.1Zr As-received 551 284 126,table
127,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,AMZIRC,,YS = 501 MPa @ 300K,,,,As-received,Table 6(b),AMZIRC As-received 501 261 126,table
128,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,AMZIRC,,YS = 261 MPa @ 773K,,,,As-received,Table 6(b),AMZIRC As-received 501 261 126,table
129,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,AMZIRC,,YS = 126 MPa @ 923K,,,,As-received,Table 6(b),AMZIRC As-received 501 261 126,table
130,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,Cu-0.9Cr,,,YS = 442 MPa @ 300K,,,,As-received,Table 6(b),Cu-0.9Cr As-received 442 207 112,table
131,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,Cu-0.9Cr,,,YS = 207 MPa @ 773K,,,,As-received,Table 6(b),Cu-0.9Cr As-received 442 207 112,table
132,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,Cu-0.9Cr,,,YS = 112 MPa @ 923K,,,,As-received,Table 6(b),Cu-0.9Cr As-received 442 207 112,table
133,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,GlidCopAl-15,,YS = 465 MPa @ 300K,,,,As-received,Table 6(b),GlidCopAl-15 As-received 465 184 100,table
134,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,GlidCopAl-15,,YS = 184 MPa @ 773K,,,,As-received,Table 6(b),GlidCopAl-15 As-received 465 184 100,table
135,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,GlidCopAl-15,,YS = 100 MPa @ 923K,,,,As-received,Table 6(b),GlidCopAl-15 As-received 465 184 100,table
136,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,GlidCopAl-15,,YS = 409 MPa @ 300K,,,,Brazed,Table 6(b),GlidCopAl-15 Brazed 409 175 73,table
137,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,GlidCopAl-15,,YS = 175 MPa @ 773K,,,,Brazed,Table 6(b),GlidCopAl-15 Brazed 409 175 73,table
138,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,GlidCopAl-15,,YS = 73 MPa @ 923K,,,,Brazed,Table 6(b),GlidCopAl-15 Brazed 409 175 73,table
139,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,GRCop-84,,YS = 196 MPa @ 300K,,,,As-received,Table 6(b),GRCop-84 As-received 196 114 69,table
140,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,GRCop-84,,YS = 114 MPa @ 773K,,,,As-received,Table 6(b),GRCop-84 As-received 196 114 69,table
141,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,GRCop-84,,YS = 69 MPa @ 923K,,,,As-received,Table 6(b),GRCop-84 As-received 196 114 69,table
142,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,GRCop-84,,YS = 187 MPa @ 300K,,,,Brazed,Table 6(b),GRCop-84 Brazed 187 105 55,table
143,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,GRCop-84,,YS = 105 MPa @ 773K,,,,Brazed,Table 6(b),GRCop-84 Brazed 187 105 55,table
144,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,GRCop-84,,YS = 55 MPa @ 923K,,,,Brazed,Table 6(b),GRCop-84 Brazed 187 105 55,table
145,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,NARloy-Z,,YS = 138 MPa @ 300K (estimated),,,,STA,Table 6(b),NARloy-Z* STA 138 93 36,table
146,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,NARloy-Z,,YS = 93 MPa @ 773K (estimated),,,,STA,Table 6(b),NARloy-Z* STA 138 93 36,table
147,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,NARloy-Z,,YS = 36 MPa @ 923K (estimated),,,,STA,Table 6(b),NARloy-Z* STA 138 93 36,table
148,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,Cu-1Cr-0.1Zr,,,YS = 107 MPa @ 300K,,,,Brazed,Table 6(b),Cu-1Cr-0.1Zr Brazed 107 67 29,table
149,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,Cu-1Cr-0.1Zr,,,YS = 67 MPa @ 773K,,,,Brazed,Table 6(b),Cu-1Cr-0.1Zr Brazed 107 67 29,table
150,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,Cu-1Cr-0.1Zr,,,YS = 29 MPa @ 923K,,,,Brazed,Table 6(b),Cu-1Cr-0.1Zr Brazed 107 67 29,table
151,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,Cu-0.9Cr,,,YS = 90 MPa @ 300K,,,,Brazed,Table 6(b),Cu-0.9Cr Brazed 90 43 23,table
152,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,Cu-0.9Cr,,,YS = 43 MPa @ 773K,,,,Brazed,Table 6(b),Cu-0.9Cr Brazed 90 43 23,table
153,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,Cu-0.9Cr,,,YS = 23 MPa @ 923K,,,,Brazed,Table 6(b),Cu-0.9Cr Brazed 90 43 23,table
154,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,OFHCCu,,YS = 52 MPa @ 300K (estimated),,,,As-received,Table 6(b),OFHCCu* As-received 52 33 16,table
155,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,OFHCCu,,YS = 33 MPa @ 773K (estimated),,,,As-received,Table 6(b),OFHCCu* As-received 52 33 16,table
156,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,OFHCCu,,YS = 16 MPa @ 923K (estimated),,,,As-received,Table 6(b),OFHCCu* As-received 52 33 16,table
157,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,AMZIRC,,YS = 32 MPa @ 300K,,,,Brazed,Table 6(b),AMZIRC Brazed 32 25,table
158,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,AMZIRC,,YS = 25 MPa @ 773K,,,,Brazed,Table 6(b),AMZIRC Brazed 32 25,table
159,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,GlidCopAl-15,,YS = 126 MPa @ 923K,,,,As-received,Table 6(b),126 As-received GlidCopAl-15,table
160,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,GlidCopAl-15,,YS = 126 MPa @ 923K,,,,Brazed,Table 6(b),126 Brazed GlidCopAl-15,table
161,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,Cu-1Cr-0.1Zr,,,YS = 112 MPa @ 923K,,,,As-received,Table 6(b),112 As-received Cu-1Cr-0.1Zr,table
162,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,Cu-0.9Cr,,,YS = 100 MPa @ 923K,,,,As-received,Table 6(b),100 As-received Cu-0.9Cr,table
163,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,GRCop-84,,YS = 73 MPa @ 923K,,,,As-received,Table 6(b),73 As-received GRCop-84,table
164,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,GRCop-84,,YS = 69 MPa @ 923K,,,,Brazed,Table 6(b),69 Brazed GRCop-84,table
165,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,NARloy-Z,,YS = 55 MPa @ 923K (estimated),,,,STA,Table 6(b),55 STA NARloy-Z*,table
166,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,Cu-1Cr-0.1Zr,,,YS = 36 MPa @ 923K,,,,Brazed,Table 6(b),36 Brazed Cu-1Cr-0.1Zr,table
167,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,AMZIRC,,YS = 29 MPa @ 923K,,,,As-received,Table 6(b),29 As-received AMZIRC,table
168,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,Cu-0.9Cr,,,YS = 23 MPa @ 923K,,,,Brazed,Table 6(b),23 Brazed Cu-0.9Cr,table
169,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,22,,AMZIRC,,YS = 16 MPa @ 923K,,,,Brazed,Table 6(b),16 Brazed AMZIRC,table
170,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,23,,,,,,,,,Text,the strain is often in excess of 10%,text
171,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,23,,,,,,,,,Text,total elongations of 8–14%,text
172,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,24,,GRCop-84,,,,,,NotSpecified,Table 7(a),GRCop-84 NotSpecified 773 4.77E−26 9.49 109,table
173,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,24,,GRCop-84,,,,,,NotSpecified,Table 7(a),GRCop-84 NotSpecified 923 7.17E−24 10.32 46,table
174,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,24,Cu-1Cr-0.1Zr,,,,,,,Brazed,Table 7(a),Cu-1Cr-0.1Zr Brazed 773 5.94E−17 5.71 62,table
175,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,24,Cu-1Cr-0.1Zr,,,,,,,Brazed,Table 7(a),Cu-1Cr-0.1Zr Brazed 923 1.50E−14 5.52 26,table
176,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,24,Cu-0.9Cr*,,,,,,,Brazed,Table 7(a),Cu-0.9Cr* Brazed 773 4.00E−14 5.08 29,table
177,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,24,Cu-0.9Cr,,,,,,,Brazed,Table 7(a),Cu-0.9Cr Brazed 923 1.27E−10 3.83 10,table
178,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,24,,GRCop-84,,,,,,NotSpecified,Table 7(b),GRCop-84 NotSpecified 773 1.042E−22 7.67 121,table
179,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,24,,GRCop-84,,,,,,NotSpecified,Table 7(b),GRCop-84 NotSpecified 923 3.400E−21 8.52 50,table
180,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,24,,GRCop-84,,,,,,L-PBF,Text,the minimum creep rate at 40MPa and 923K is 3×10⁻⁹ s⁻¹ for the L-PBF alloy,text
181,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,24,,GRCop-84,,,,,,sheet,Text,and 3×10⁻⁷ s⁻¹ for sheet GRCop-84,text
182,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,25,,GRCop-84,,,,,,LCF test strain rate = 0.12 min^-1,Text,This LCF experiment was strain controlled with a triangular waveform at a constant strain rate of 0.12min−1 [26].,text
183,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,25,,"GRCop-84, GRCop-42",,,Total strain to failure >= 0.7%,,,"LCF test temperatures: room temperature, 673 K, 873 K",Text,"Gradl et al. also presented LCF results on wrought GRCop-84 and GRCop-42 at room temperature, 673, and 873K with a fully reversed triangular waveform under strain control [82]. The GRCop alloys were tested according to the total strain range with plastic strain and shown in Figure 17 [82]. Gradl et al. observed that both alloys did not fail below 0.7% total strain and have nearly equivalent performance from a practical engineering perspective [82].",text
184,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,26,,Pure Copper,,,,,α(T) = 4.718E−9(T)^2 + 1.268E−5(T) − 4.210E−3 (mm/mm); 0.74–1.15% at 700-900 K,,Table 8,PureCoppero 4.718E−9 1.268E−5 −4.210E−3 0.74–1.15,table
185,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,26,,NARloy-Z,,,,,α(T) = 3.883E−9(T)^2 + 1.414E−5(T) − 4.498E−3 (mm/mm); 0.73–1.13% at 700-900 K,,Table 8,NARloy-Z* 3.883E−9 1.414E−5 −4.498E−3 0.73–1.13,table
186,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,26,,AMZIRC,,,,,α(T) = 4.132E−9(T)^2 + 1.384E−5(T) − 4.257E−3 (mm/mm); 0.75–1.15% at 700-900 K,,Table 8,AMZIRC** 4.132E−9 1.384E−5 −4.257E−3 0.75–1.15,table
187,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,26,,"GlidCop, Al-15",,,,,α(T) = 3.989E−9(T)^2 + 1.401E−5(T) − 4.223E−3 (mm/mm); 0.75–1.16% at 700-900 K,,Table 8,"GlidCop,Al-15** 3.989E−9 1.401E−5 −4.223E−3 0.75–1.16",table
188,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,26,Cu-1Cr-0.1Zr,Cu-1Cr-0.1Zr,,,,,α(T) = 4.947E−9(T)^2 + 1.289E−5(T) − 3.968E−3 (mm/mm); 0.75–1.16% at 700-900 K,,Table 8,Cu-1Cr-0.1Zr** 4.947E−9 1.289E−5 −3.968E−3 0.75–1.16,table
189,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,26,,GRCop-84,,,,,α(T) = 3.420E−9(T)^2 + 1.387E−5(T) − 4.380E−3 (mm/mm); 0.70–1.09% at 700-900 K,extruded condition,Table 8 and footnote +,"GRCop-84+ 3.420E−9 1.387E−5 −4.380E−3 0.70–1.09
+Intheextrudedconditionwith95%confidence;convertedfrompowerlawtoquadraticequation[4].",table
190,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,26,,GRCop-42,,,,,α(T) = 4.718E−9(T)^2 + 1.268E−5(T) − 4.210E−3 (mm/mm); 0.70–1.10% at 700-900 K,extruded condition,Table 8 and footnote ++,"GRCop-42++ 4.718E−9 1.268E−5 −4.210E−3 0.70–1.10
++Intheextrudedcondition;estimatedfromgraphassume±5%accuracy[5].",table
